URL,Size(byte),# of Outlinks,Content Type
https://www.latimes.com/,868064,431,text/html
https://www.latimes.com/specialsupplements,422659,254,text/html
https://www.latimes.com/topic/education,384161,231,text/html
https://www.latimes.com/topic/california-law-politics,440912,243,text/html
https://www.latimes.com/world-nation/story/2024-02-13/rafah-bombing-israel-gaza,346334,208,text/html
https://www.latimes.com/science,457974,253,text/html
https://www.latimes.com/california/story/2024-02-09/latinos-california-illegal-immigration,337969,247,text/html
https://www.latimes.com/espanol/,480502,199,text/html
https://www.latimes.com/entertainment-arts/business/story/2023-12-20/it-was-one-of-l-a-s-oldest-film-festivals-then-it-collapsed-what-happened,364129,236,text/html
https://www.latimes.com/california/story/2024-02-07/uc-csu-extend-college-commitment-date-citing-fafsa-turmoil,334167,222,text/html
https://www.latimes.com/b2bpublishing/business-announcements/story/2023-05-15/kalendarais-sales-agent-is-increasing-revenue-through-autonomous-booking,262568,196,text/html
https://www.latimes.com/entertainment-arts/awards,454499,259,text/html
https://www.latimes.com/business/story/2024-02-15/child-free-by-choice-for-financial-reasons-falling-birth-rates,370003,230,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-01-16/film-la-report-production-levels-actors-writers-strike,324584,221,text/html
https://www.latimes.com/people/teresa-watanabe,284425,207,text/html
https://www.latimes.com/bestcovery/standing-desk-comparison-and-review,91307,48,text/html
https://www.latimes.com/espanol/internacional/articulo/2024-02-14/un-vistazo-a-los-arsenales-de-israel-y-hezbollah-al-intensificarse-los-ataques-transfronterizos,236920,105,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-13/trump-quiere-un-cambio-de-liderazgo-en-el-comite-nacional-republicano,239803,110,text/html
https://www.latimes.com/california/story/2024-01-31/starbucks-on-campus-uc-riverside-students-say-no,345898,231,text/html
https://www.latimes.com/politics/story/2024-02-13/democrats-are-emphasizing-abortion-to-mobilize-voters-will-it-work-in-oc,343907,227,text/html
https://www.latimes.com/california/story/2020-08-28/california-100-lawsuits-trump-administration,321507,219,text/html
https://www.latimes.com/opinion/story/2024-01-29/chronic-pain-health-wellness-mind-body,333327,219,text/html
https://www.latimes.com/sports/ucla/story/2024-02-15/ucla-basketball-vs-colorado-recap-sebastian-mack,324515,220,text/html
https://www.latimes.com/world-nation/story/2024-02-13/antisemitism-and-safety-fears-surge-among-us-jews-survey-finds,319840,217,text/html
https://www.latimes.com/opinion/letters-to-the-editor,541921,305,text/html
https://www.latimes.com/sports/dodgers/newsletter/2024-02-15/hall-of-fame-dodgers-dugout,317913,219,text/html
https://www.latimes.com/california/story/2024-01-18/los-angeles-mans-cousin-from-the-philippines-could-save-his-life,332765,217,text/html
https://www.latimes.com/politics/story/2020-06-15/supreme-court-rejects-trumps-challenge-to-california-sanctuary-law,316240,218,text/html
https://www.latimes.com/politics/story/2024-02-12/r-f-k-jr-apologizes-to-family-for-super-bowl-ad-that-invoked-his-late-uncle-president-john-f-kennedy,317058,222,text/html
https://www.latimes.com/california/story/2024-02-14/new-lausd-policy-will-restrict-location-of-charter-schools-advocates-threaten-to-sue,336673,223,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-06/mexico-se-despide-de-la-serie-del-caribe-con-triunfo-sobre-nicaragua,265932,119,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-09/salsas-de-frijoles-enchiladas-y-tacos-entre-los-nuevos-articulos-retirados-por-brote-de-listeria,247414,111,text/html
https://www.latimes.com/california/story/2024-01-19/uc-enrolls-record-number-of-california-undergrads-in-fall-2023-cuts-out-of-state-students,335218,225,text/html
https://www.latimes.com/bestcovery/manscaped-lawn-mower-4-0-review,78176,44,text/html
https://www.latimes.com/entertainment/tv/la-et-st-andrew-haigh-looking-conversation-20150111-story.html,338283,219,text/html
https://www.latimes.com/archives,299213,195,text/html
https://www.latimes.com/environment/story/2024-02-15/falling-ev-sales-raise-worries-over-california-climate-plan,407910,238,text/html
https://www.latimes.com/california/story/2024-02-15/democratic-lawmakers-introduce-legislation-to-target-organized-retail-theft-online-resellers,312193,218,text/html
https://www.latimes.com/food/list/101-best-los-angeles-restaurants-ranked-2023,1048576,399,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-01-19/sundance-2024-indie-marketplace-post-strikes,335651,226,text/html
https://www.latimes.com/b2bpublishing/business-partnerships,354909,224,text/html
https://www.latimes.com/business/technology,387091,227,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-13/el-rey-carlos-iii-regresa-a-londres-se-espera-que-para-recibir-tratamiento-contra-el-cancer,233379,107,text/html
https://www.latimes.com/espanol/internacional/articulo/2024-02-10/mama-antula-una-jesuita-de-1730-que-no-queria-casarse-ni-ser-monja-sera-primera-santa-de-argentina,242581,110,text/html
https://www.latimes.com/california/story/2024-02-12/proposition-1-just-scratches-the-surface-on-mental-health-homelessness,337750,224,text/html
https://www.latimes.com/giving2022,655781,374,text/html
https://www.latimes.com/california/story/2019-10-06/proposition-187-timeline,359691,244,text/html
https://www.latimes.com/environment/story/2024-02-07/californias-fight-against-air-pollution-just-got-tougher,339687,214,text/html
https://www.latimes.com/topic/california-drought,387085,231,text/html
https://www.latimes.com/archives/topics,293287,245,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-02-13/attacking-rafah-should-result-in-the-u-s-suspending-aid-to-israel,307268,216,text/html
https://www.latimes.com/world-nation/story/2024-02-13/a-movie-star-a-suicide-and-a-nations-war-on-drugs,406275,255,text/html
https://www.latimes.com/california/story/2024-01-30/as-lausd-enrollment-plunges-one-school-is-overcrowded-proposed-fixes-stir-panic,349717,226,text/html
https://www.latimes.com/world-nation/story/2024-02-13/south-africa-has-launched-an-urgent-request-with-top-un-court-over-israels-targeting-of-rafah,324329,219,text/html
https://www.latimes.com/lifestyle/story/2024-02-09/la-affairs-sean-holiday-i-wanted-a-relationship-not-several-breakups,335070,223,text/html
https://www.latimes.com/california/story/2024-02-15/several-firefighters-injured-in-wilmington-explosion,333031,223,text/html
https://www.latimes.com/topic/covid-19-pandemic,393541,230,text/html
https://www.latimes.com/people/howard-blume,282786,208,text/html
https://www.latimes.com/podcasts/story/2021-07-22/the-times-podcast-pete-wilson-prop-187,294831,219,text/html
https://www.latimes.com/california/story/2024-02-10/homeless-hotel-lawsuit,374396,219,text/html
https://www.latimes.com/espanol/mexico/articulo/2024-02-12/mexico-incauta-40-toneladas-de-metanfetamina-de-un-laboratorio-de-drogas-en-el-estado-de-sonora,243626,111,text/html
https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-14/marvel-prepara-sus-cuatro-fantasticos-pedro-pascal-y-vanessa-kirby-entre-las-estrellas-que-se-visten,248573,119,text/html
https://www.latimes.com/specialsupplements/story/2023-12-30/mine-and-drive-vms-groundbreaking-tech-allows-commuters-to-make-bitcoin-while-on-the-road,265138,194,text/html
https://www.latimes.com/entertainment-arts/movies/story/2021-08-20/outfest-trans-nonbinary-summit-2021-elliot-page,331169,231,text/html
https://www.latimes.com/bestcovery/fashion,120699,58,text/html
https://www.latimes.com/travel/list/elysian-valley-frogtown-guide-things-to-do,539451,293,text/html
https://www.latimes.com/travel,459436,263,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-02-09/talent-agency-a3-to-shut-down-on-monday,323608,223,text/html
https://www.latimes.com/bestcovery/best-gel-pen,97232,48,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-14/reportan-al-menos-8-heridos-tras-tiroteo-cerca-de-celebracion-de-los-kansas-city-chiefs,263970,115,text/html
https://www.latimes.com/espanol/eeuu/articulo/2024-02-11/la-mayoria-de-los-estadounidenses-creen-que-pagan-demasiados-impuestos-dice-encuesta-de-ap-norc,253451,111,text/html
https://www.latimes.com/california/story/2024-02-14/firefighters-launch-campaign-against-measure-hla,334617,227,text/html
https://www.latimes.com/b2bpublishing/story/2024-02-02/shop-the-sams-club-february-doorbusters-sale,277533,207,text/html
