Queries,Number Of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4,40,-1
Query 2,0,0,0
Query 3,0,0,0
Query 4,4,40,-2.1
Query 5,4,40,-0.9
Query 6,3,30,-5.5
Query 7,1,10,1
Query 8,0,0,0
Query 9,3,30,-7.25
Query 10,3,30,-1.75
Query 11,1,10,0
Query 12,2,20,1
Query 13,3,30,-5.5
Query 14,1,10,0
Query 15,3,30,-3.5
Query 16,3,30,-16.25
Query 17,1,10,0
Query 18,0,0,0
Query 19,1,10,0
Query 20,3,30,-15.25
Query 21,1,10,0
Query 22,2,20,-36
Query 23,5,50,0.45
Query 24,1,10,0
Query 25,2,20,-116
Query 26,3,30,-2
Query 27,3,30,-8
Query 28,0,0,0
Query 29,0,0,0
Query 30,3,30,-2.5
Query 31,3,30,-3.5
Query 32,2,20,-3
Query 33,1,10,0
Query 34,3,30,0.5
Query 35,3,30,-3.25
Query 36,2,20,-16
Query 37,4,40,0.3
Query 38,3,30,-0.5
Query 39,2,20,-3
Query 40,3,30,-5.5
Query 41,1,10,1
Query 42,1,10,0
Query 43,0,0,0
Query 44,3,30,-5.25
Query 45,4,40,-12.2
Query 46,3,30,-12
Query 47,2,20,-4
Query 48,0,0,0
Query 49,1,10,1
Query 50,3,30,-8.25
Query 51,2,20,-36
Query 52,4,40,-0.3
Query 53,2,20,-8
Query 54,3,30,-1
Query 55,1,10,0
Query 56,1,10,0
Query 57,3,30,-1.25
Query 58,2,20,0
Query 59,3,30,-2.25
Query 60,1,10,0
Query 61,3,30,-0.5
Query 62,4,40,-3.6
Query 63,3,30,-8.5
Query 64,1,10,0
Query 65,0,0,0
Query 66,0,0,0
Query 67,0,0,0
Query 68,4,40,-0.1
Query 69,0,0,0
Query 70,3,30,-3.5
Query 71,4,40,0.3
Query 72,1,10,0
Query 73,2,20,-16
Query 74,3,30,-2.25
Query 75,3,30,-15.5
Query 76,1,10,0
Query 77,0,0,0
Query 78,3,30,0.25
Query 79,2,20,-1
Query 80,3,30,-19.25
Query 81,0,0,0
Query 82,1,10,1
Query 83,6,60,-0.114285714
Query 84,0,0,0
Query 85,2,20,-44
Query 86,2,20,-1
Query 87,1,10,0
Query 88,3,30,-0.25
Query 89,5,50,0.65
Query 90,5,50,-0.35
Query 91,0,0,0
Query 92,4,40,-0.1
Query 93,0,0,0
Query 94,4,40,-1
Query 95,0,0,0
Query 96,1,10,0
Query 97,1,10,0
Query 98,1,10,0
Query 99,3,30,-0.5
Query 100,5,50,-0.7
Averages,2.1,21,-4.595142857
